trade_id,timestamp_et,symbol,sig,atr_scale,entry_px,exit_px,exit_reason,pnl_pct,holding_bars,result
dfd3952e,2026-05-05 13:33:00,QQQ,0.2085,0.849,681.6641,681.67,신호소멸,9e-06,0,1.0
c68dfde6,2026-05-05 13:50:00,QQQ,0.2461,0.849,681.9741,682.71,신호소멸,0.001079,0,1.0
aea1bbfd,2026-05-05 13:56:00,QQQ,0.3022,0.849,682.2141,682.71,신호소멸,0.000727,0,1.0
1b556b27,2026-05-05 14:47:00,QQQ,0.2993,0.849,682.4741,682.26,신호소멸,-0.000314,0,0.0
6d98702b,2026-05-05 15:08:00,QQQ,0.2302,0.849,682.4491,682.7099,신호소멸,0.000382,0,1.0
6a969814,2026-05-05 15:20:00,QQQ,0.319,0.849,682.5241,682.3,신호소멸,-0.000328,0,0.0
4587670c,2026-05-05 15:26:00,QQQ,0.2724,0.849,682.4941,682.3,신호소멸,-0.000284,0,0.0
84dbc732,2026-05-06 10:15:00,QQQ,0.2931,0.863,689.7945,688.4599,신호소멸,-0.001935,0,0.0
dbb723d8,2026-05-06 10:38:00,QQQ,0.2561,0.863,690.0345,691.695,신호소멸,0.002406,0,1.0
9b5ef466,2026-05-06 12:11:00,QQQ,0.348,0.863,692.5746,692.83,신호소멸,0.000369,0,1.0
f7faedb7,2026-05-06 12:19:00,QQQ,0.3518,0.863,692.4546,692.193,신호소멸,-0.000378,0,0.0
51a172cb,2026-05-06 12:32:00,QQQ,0.2615,0.863,692.2986,692.13,신호소멸,-0.000244,0,0.0
25a8f9c1,2026-05-06 12:47:00,QQQ,0.2002,0.863,691.6646,691.82,신호소멸,0.000225,0,1.0
f616f167,2026-05-06 13:01:00,QQQ,0.2135,0.863,691.2096,691.82,신호소멸,0.000883,0,1.0
1e89e243,2026-05-06 13:11:00,QQQ,0.2217,0.863,692.4146,692.29,신호소멸,-0.00018,0,0.0
8354b42b,2026-05-06 13:39:00,QQQ,0.2778,0.863,692.8746,693.18,신호소멸,0.000441,0,1.0
99f54750,2026-05-06 14:03:00,QQQ,0.2133,0.863,692.7247,693.18,신호소멸,0.000657,0,1.0
11b6e15e,2026-05-06 14:20:00,QQQ,0.2417,0.863,693.5047,693.605,신호소멸,0.000145,0,1.0
e8c4463c,2026-05-06 14:31:00,QQQ,0.3475,0.863,693.7747,693.71,신호소멸,-9.3e-05,0,0.0
5017ef9b,2026-05-06 14:41:00,QQQ,0.2823,0.863,694.1447,694.0601,신호소멸,-0.000122,0,0.0
11665d88,2026-05-06 14:49:00,QQQ,0.258,0.863,693.7447,693.79,신호소멸,6.5e-05,0,1.0
3993234e,2026-05-06 15:39:00,QQQ,0.2589,0.863,694.8897,694.5901,신호소멸,-0.000431,0,0.0
0c84c384,2026-05-07 09:59:00,QQQ,0.2447,0.928,697.3049,697.52,신호소멸,0.000308,0,1.0
6a577874,2026-05-07 10:08:00,QQQ,0.2117,0.928,698.6949,698.585,신호소멸,-0.000157,0,0.0
a4cfcab1,2026-05-07 10:34:00,QQQ,0.3597,0.928,699.6742,699.71,신호소멸,5.1e-05,0,1.0
d224c75f,2026-05-07 10:46:00,QQQ,0.2075,0.928,700.495,700.68,신호소멸,0.000264,0,1.0
814642a7,2026-05-07 11:42:00,QQQ,0.2487,0.928,699.58,698.68,신호소멸,-0.001286,0,0.0
a11d0ef8,2026-05-07 12:07:00,QQQ,0.2321,0.928,696.0848,695.38,신호소멸,-0.001013,0,0.0
19c14897,2026-05-07 12:21:00,QQQ,0.2003,0.928,694.4947,695.38,신호소멸,0.001275,0,1.0
